epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.97926,1.01865,4.39682,1.02648,0.29933,0.38073,0.22266,0.20072,0.48729,3.93256,0.80215,8.568e-05,8.568e-05,8.568e-05
2,16.0211,0.59268,2.26416,0.87238,0.48452,0.68138,0.62605,0.55723,0.49762,1.57573,0.79033,0.000173775,0.000173775,0.000173775
3,22.7931,0.56711,1.53853,0.86833,0.58613,0.86248,0.70543,0.62703,0.5716,1.17229,0.80353,0.000260693,0.000260693,0.000260693
4,29.4517,0.55665,1.28601,0.86252,0.61797,0.98612,0.81313,0.72674,0.52564,0.88788,0.7926,0.000346432,0.000346432,0.000346432
5,36.1718,0.53169,1.13272,0.85082,0.62064,0.98115,0.76215,0.68271,0.55905,0.88604,0.79979,0.000347575,0.000347575,0.000347575
6,42.8211,0.51961,1.03683,0.85244,0.62905,0.99065,0.75104,0.67742,0.5289,0.86092,0.79818,0.000345219,0.000345219,0.000345219
7,49.5076,0.51319,0.9863,0.84998,0.63096,0.99878,0.75178,0.6898,0.48239,0.82023,0.79027,0.000342863,0.000342863,0.000342863
8,56.1775,0.49008,0.94021,0.84307,0.62728,1,0.76784,0.70312,0.47713,0.78872,0.7861,0.000340507,0.000340507,0.000340507
9,62.8487,0.49512,0.91425,0.85437,0.69972,0.95829,0.84761,0.78671,0.43111,0.71347,0.78256,0.00033815,0.00033815,0.00033815
10,69.5609,0.49598,0.87222,0.85413,0.63523,0.99856,0.81012,0.74475,0.49092,0.75455,0.78914,0.000335794,0.000335794,0.000335794
11,76.2152,0.48558,0.86147,0.85128,0.64555,0.98785,0.80993,0.74859,0.46867,0.74312,0.78395,0.000333438,0.000333438,0.000333438
12,82.8655,0.47961,0.82462,0.84038,0.63373,0.99662,0.76202,0.69556,0.47854,0.75074,0.78596,0.000331082,0.000331082,0.000331082
13,89.3957,0.47941,0.82297,0.85424,0.63738,1,0.688,0.62115,0.53596,0.75925,0.79268,0.000328726,0.000328726,0.000328726
14,95.9101,0.49485,0.81891,0.85335,0.63751,1,0.7106,0.66046,0.40282,0.7125,0.77881,0.000326369,0.000326369,0.000326369
15,102.511,0.46418,0.7927,0.84716,0.62592,1,0.7252,0.6738,0.39405,0.73212,0.77934,0.000324013,0.000324013,0.000324013
16,109.129,0.47904,0.79803,0.84799,0.63175,1,0.73547,0.67545,0.44885,0.72165,0.79136,0.000321657,0.000321657,0.000321657
17,115.724,0.45611,0.78814,0.83687,0.64073,1,0.73459,0.66767,0.51833,0.7366,0.7907,0.000319301,0.000319301,0.000319301
18,122.297,0.44832,0.77164,0.83588,0.6336,0.99975,0.7068,0.65039,0.47373,0.72289,0.78706,0.000316945,0.000316945,0.000316945
19,128.959,0.44032,0.77462,0.84202,0.62806,0.9947,0.71323,0.65814,0.45565,0.73854,0.78688,0.000314588,0.000314588,0.000314588
20,135.659,0.44925,0.77257,0.83713,0.63204,0.99594,0.78201,0.73269,0.41055,0.70571,0.7778,0.000312232,0.000312232,0.000312232
21,142.276,0.46928,0.76165,0.84662,0.63551,1,0.76652,0.7226,0.35989,0.67907,0.7761,0.000309876,0.000309876,0.000309876
22,148.878,0.44854,0.75432,0.8334,0.6342,1,0.75978,0.71795,0.34844,0.66151,0.77141,0.00030752,0.00030752,0.00030752
23,155.451,0.44111,0.74335,0.84435,0.6312,1,0.72995,0.67941,0.42669,0.69461,0.7807,0.000305164,0.000305164,0.000305164
24,162.087,0.44819,0.75268,0.84181,0.63394,1,0.713,0.65643,0.4808,0.69538,0.7905,0.000302807,0.000302807,0.000302807
25,168.647,0.43833,0.73232,0.83651,0.63344,0.99797,0.76933,0.71779,0.40912,0.67275,0.78008,0.000300451,0.000300451,0.000300451
26,175.196,0.4397,0.72523,0.84158,0.64738,0.97746,0.77476,0.72293,0.42572,0.67198,0.78217,0.000298095,0.000298095,0.000298095
27,181.803,0.43843,0.73814,0.83682,0.62886,0.99113,0.77511,0.72682,0.40575,0.66859,0.77974,0.000295739,0.000295739,0.000295739
28,188.404,0.43409,0.72575,0.82871,0.62769,1,0.75139,0.704,0.41165,0.67099,0.78016,0.000293383,0.000293383,0.000293383
29,194.965,0.42937,0.72138,0.83407,0.65441,0.98363,0.80398,0.75911,0.36916,0.64817,0.77312,0.000291026,0.000291026,0.000291026
30,201.497,0.43375,0.72005,0.83197,0.6417,0.99422,0.77188,0.71887,0.41955,0.67032,0.78149,0.00028867,0.00028867,0.00028867
31,208.005,0.42314,0.70849,0.82911,0.64074,0.98993,0.78923,0.73227,0.43272,0.65711,0.78492,0.000286314,0.000286314,0.000286314
32,214.558,0.42519,0.71277,0.82943,0.64314,0.99306,0.77133,0.72407,0.3922,0.65552,0.77609,0.000283958,0.000283958,0.000283958
33,221.078,0.4266,0.71555,0.82338,0.63107,0.99653,0.76723,0.71846,0.40979,0.65461,0.78164,0.000281602,0.000281602,0.000281602
34,227.637,0.4336,0.7185,0.83895,0.64508,1,0.7638,0.72669,0.34161,0.64301,0.77155,0.000279245,0.000279245,0.000279245
